#k:30.000000 m:0.010000 mu:-0.010000 Half-Life:1.735145 Freq:8.700000
Time Position Velocity Energy
3.472200 -0.545864 -271.685256 373.533911
3.472100 -0.518678 -271.859902 373.574439
3.472000 -0.491476 -272.026397 373.615030
3.471900 -0.464257 -272.184738 373.655680
3.471800 -0.437024 -272.334918 373.696385
3.471700 -0.409776 -272.476934 373.737144
3.471600 -0.382515 -272.610780 373.777953
3.471500 -0.355241 -272.736452 373.818808
3.471400 -0.327956 -272.853946 373.859707
3.471300 -0.300660 -272.963259 373.900646
3.471200 -0.273353 -273.064386 373.941623
3.471100 -0.246037 -273.157324 373.982635
3.471000 -0.218713 -273.242070 374.023677
3.470900 -0.191381 -273.318622 374.064747
3.470800 -0.164043 -273.386976 374.105843
3.470700 -0.136698 -273.447130 374.146960
3.470600 -0.109348 -273.499083 374.188096
3.470500 -0.081994 -273.542831 374.229247
3.470400 -0.054636 -273.578374 374.270411
3.470300 -0.027275 -273.605711 374.311584
3.470200 0.000087 -273.624839 374.352763
3.470100 0.027451 -273.635759 374.393945
3.470000 0.054815 -273.638469 374.435127
3.469900 0.082178 -273.632969 374.476305
3.469800 0.109540 -273.619258 374.517477
3.469700 0.136899 -273.597338 374.558640
3.469600 0.164256 -273.567208 374.599789
3.469500 0.191609 -273.528869 374.640923
3.469400 0.218957 -273.482322 374.682037
3.469300 0.246300 -273.427568 374.723130
3.469200 0.273637 -273.364607 374.764197
3.469100 0.300966 -273.293443 374.805236
3.469000 0.328287 -273.214075 374.846243
3.468900 0.355600 -273.126507 374.887215
3.468800 0.382903 -273.030741 374.928149
3.468700 0.410196 -272.926780 374.969043
3.468600 0.437477 -272.814625 375.009892
3.468500 0.464747 -272.694281 375.050695
3.468400 0.492003 -272.565750 375.091446
3.468300 0.519246 -272.429036 375.132145
3.468200 0.546474 -272.284143 375.172787
3.468100 0.573688 -272.131074 375.213370
3.468000 0.600885 -271.969835 375.253890
3.467900 0.628065 -271.800429 375.294344
3.467800 0.655227 -271.622862 375.334729
3.467700 0.682371 -271.437138 375.375043
